iter	Logloss
0	0.6921306106
1	0.6912058476
2	0.6896701791
3	0.6881891181
4	0.6868505247
5	0.6860436316
6	0.6846797987
7	0.6836387735
8	0.6825223858
9	0.6813780577
10	0.6802911601
11	0.6790336429
12	0.677912643
13	0.6769676562
14	0.6760018371
15	0.6747138338
16	0.6737767459
17	0.6729972473
18	0.6712100516
19	0.6700118939
20	0.6689312816
21	0.6678487423
22	0.6671852465
23	0.6663896832
24	0.6656237022
25	0.6648017164
26	0.6638728454
27	0.6628111364
28	0.661177449
29	0.6599410025
30	0.6592268945
31	0.6581414983
32	0.6572088805
33	0.6560525412
34	0.65457625
35	0.6540026617
36	0.6529228794
37	0.651957444
38	0.6514131373
39	0.6500620345
40	0.6492912457
41	0.6484436907
42	0.6477410664
43	0.6470719157
44	0.6461427918
45	0.6454974606
46	0.6445267473
47	0.6436966203
48	0.642964838
49	0.6422696394
50	0.6415184841
51	0.641310435
52	0.6406329518
53	0.639530007
54	0.6387062808
55	0.6379468808
56	0.6373377596
57	0.6364163915
58	0.635596571
59	0.6347480825
60	0.6339172282
61	0.6334882652
62	0.6326299812
63	0.6318598997
64	0.6306314356
65	0.6298134957
66	0.6289695789
67	0.6279677447
68	0.6277454717
69	0.6268961778
70	0.6266096726
71	0.6258352809
72	0.6253119472
73	0.6242752212
74	0.6235276954
75	0.6227694512
76	0.6222193631
77	0.6213257938
78	0.6205968644
79	0.6202243487
80	0.619875289
81	0.6189975421
82	0.6184468629
83	0.6174161272
84	0.6173156972
85	0.616837027
86	0.6162230988
87	0.6161290745
88	0.6149793525
89	0.6143429158
90	0.6136420068
91	0.6124210301
92	0.6118725244
93	0.6110672169
94	0.6097930579
95	0.6089628267
96	0.6082233089
97	0.6077043443
98	0.606333036
99	0.6060361297
100	0.6052909094
101	0.6048828773
102	0.604357183
103	0.6037466077
104	0.6030312578
105	0.6023619638
106	0.6015518291
107	0.6008223454
108	0.6002951463
109	0.5995707473
110	0.5990164054
111	0.5982491466
112	0.5977725207
113	0.5969523698
114	0.5964451517
115	0.5960234026
116	0.5959746238
117	0.5955350497
118	0.5950761128
119	0.5946919628
120	0.5938990762
121	0.5932477602
122	0.5923516723
123	0.5920506192
124	0.5916389733
125	0.5910526087
126	0.5906568718
127	0.5902977682
128	0.5899497231
129	0.5894119328
130	0.5889489519
131	0.5882259595
132	0.5875852436
133	0.5871354228
134	0.5867788995
135	0.586199522
136	0.5855522047
137	0.5848944566
138	0.5846018094
139	0.584160195
140	0.5835131091
141	0.5829633987
142	0.5824451988
143	0.5817720604
144	0.5813467722
145	0.5809027769
146	0.5804427061
147	0.580067777
148	0.5797517185
149	0.5792149197
150	0.5785949422
151	0.5782751315
152	0.5777502646
153	0.5774618635
154	0.5769255592
155	0.5766588429
156	0.5760346875
157	0.5755693811
158	0.5751679302
159	0.574741384
160	0.5741605851
161	0.5738255866
162	0.5732808159
163	0.5729873445
164	0.5728450928
165	0.5723047811
166	0.571703456
167	0.5712901907
168	0.5710651813
169	0.5708482365
170	0.5707214219
171	0.5705344662
172	0.5701819585
173	0.5699424245
174	0.5697313607
175	0.5693785785
176	0.569152598
177	0.5686616352
178	0.5685892472
179	0.5681598573
180	0.5675836463
181	0.5672710436
182	0.5671368713
183	0.5666187191
184	0.5663028106
185	0.5661851363
186	0.5656904235
187	0.5652162091
188	0.5647230247
189	0.5641387444
190	0.5638429939
191	0.5631430543
192	0.5627571237
193	0.5624972452
194	0.562292141
195	0.5618429028
196	0.5615139316
197	0.5613248945
198	0.5611954777
199	0.5608935357
200	0.5606210824
201	0.5605047531
202	0.5603799463
203	0.5599410656
204	0.559725104
205	0.5594794932
206	0.5592849697
207	0.558851863
208	0.558588784
209	0.5579220309
210	0.5578260591
211	0.557602514
212	0.5571683701
213	0.5567754183
214	0.5565282876
215	0.5562882164
216	0.5558787544
217	0.5555456674
218	0.5553334858
219	0.5549863468
220	0.5545773141
221	0.5542841389
222	0.5539023419
223	0.553549576
224	0.5532354134
225	0.5529192422
226	0.5526869816
227	0.5522874333
228	0.5520029052
229	0.5517612135
230	0.5516019618
231	0.5514053691
232	0.5511125736
233	0.5508424893
234	0.5504802268
235	0.550249611
236	0.550148595
237	0.5499175509
238	0.5497659523
239	0.549193159
240	0.5487541341
241	0.5486984829
242	0.548438036
243	0.5483011663
244	0.5476126297
245	0.547335874
246	0.546895443
247	0.5467789658
248	0.5464995264
249	0.5461354106
250	0.5458429348
251	0.5457714336
252	0.5454320642
253	0.5452013404
254	0.544959687
255	0.5447327589
256	0.5446370413
257	0.5442043717
258	0.5440466031
259	0.543928568
260	0.5434548548
261	0.543214045
262	0.5430778899
263	0.5429151254
264	0.5427908261
265	0.542548387
266	0.54219705
267	0.5419145555
268	0.5417893961
269	0.541562991
270	0.5413046944
271	0.5411003769
272	0.540881311
273	0.5405770127
274	0.5405030392
275	0.5403110428
276	0.5401785589
277	0.5400912356
278	0.5399232746
279	0.539823667
280	0.5393605672
281	0.5389876769
282	0.5387736529
283	0.5383010321
284	0.5380528298
285	0.5379309351
286	0.5379176449
287	0.5376628341
288	0.5373719506
289	0.5371107812
290	0.53696166
291	0.5368806977
292	0.5367974016
293	0.5366092998
294	0.5365434591
295	0.5364194888
296	0.5361521903
297	0.5358779277
298	0.5355819316
299	0.5354207606
300	0.5351421914
301	0.5346632985
302	0.5345639361
303	0.5344923362
304	0.5344226356
305	0.5343013881
306	0.533941458
307	0.5338132439
308	0.5336688298
309	0.5334943394
310	0.5334002001
311	0.5332711944
312	0.5330143173
313	0.5328242714
314	0.5325595436
315	0.5324646876
316	0.5324509739
317	0.5318597098
